time(UTC);RH
20180610:0700;83,4
20180610:0800;75,1
20180610:0900;67,65
20180610:1000;63,2
20180610:1100;56,95
20180610:1200;53,15
20180610:1300;51,25
20180610:1400;49,55
20180610:1500;53,15
20180610:1600;53,15
20180610:1700;55,05
20180610:1800;56,95
20180610:1900;58,9
20180610:2000;65,35
20180610:2100;70
20180610:2200;77,75
20180610:2300;80,45
20180611:0000;83,35
20180611:0100;86,3
20180611:0200;89,4
20180611:0300;92,6
20180611:0400;92,6
20180611:0500;95,9
20180611:0600;92,6
20180611:0700;86,35
20180611:0800;80,55
20180611:0900;70,1
20180611:1000;63,2
20180611:1100;56,95
20180611:1200;53,15
20180611:1300;51,4
20180611:1400;49,55
20180611:1500;47,9
20180611:1600;47,9
20180611:1700;53,15
20180611:1800;53,15
20180611:1900;54,95
20180611:2000;60,95
20180611:2100;65,25
20180611:2200;67,55
20180611:2300;72,4
20180612:0000;74,95
20180612:0100;77,6
20180612:0200;83,25
20180612:0300;86,2
20180612:0400;86,2
20180612:0500;83,15
20180612:0600;83,25
20180612:0700;75,1
20180612:0800;63,3
20180612:0900;61,3
20180612:1000;53,5
20180612:1100;48,3
20180612:1200;45,1
20180612:1300;42,1
20180612:1400;42,1
20180612:1500;43,65
20180612:1600;42,25
20180612:1700;45,25
20180612:1800;46,75
20180612:1900;53,5
20180612:2000;59,25
20180612:2100;61,3
20180612:2200;67,95
20180612:2300;70,3
20180613:0000;72,65
20180613:0100;75,1
20180613:0200;77,75
20180613:0300;80,4
20180613:0400;80,35
20180613:0500;83,15
20180613:0600;83,25
20180613:0700;67,45
20180613:0800;56,75
20180613:0900;49,45
20180613:1000;46,2
20180613:1100;41,85
20180613:1200;39,15
20180613:1300;34,1
20180613:1400;31,85
20180613:1500;30,8
20180613:1600;31,85
20180613:1700;31,85
20180613:1800;34
20180613:1900;36,3
20180613:2000;41,45
20180613:2100;44,3
20180613:2200;47,4
20180613:2300;52,65
20180614:0000;58,45
20180614:0100;62,65
20180614:0200;67,25
20180614:0300;72,1
20180614:0400;72,05
20180614:0500;77,3
20180614:0600;77,35
20180614:0700;67,35
20180614:0800;54,6
20180614:0900;44,3
20180614:1000;39,95
20180614:1100;36,15
20180614:1200;31,55
20180614:1300;29,55
20180614:1400;27,7
20180614:1500;26
20180614:1600;26
20180614:1700;26,95
20180614:1800;28,9
20180614:1900;35,65
20180614:2000;42,1
20180614:2100;46,5
20180614:2200;53,25
20180614:2300;55,05
20180615:0000;58,9
20180615:0100;63,05
20180615:0200;67,55
20180615:0300;69,9
20180615:0400;74,95
20180615:0500;77,6
20180615:0600;77,65
20180615:0700;60,95
20180615:0800;49,7
20180615:0900;39,05
20180615:1000;34,25
20180615:1100;32,25
20180615:1200;30,35
20180615:1300;28,5
20180615:1400;28,65
20180615:1500;27,75
20180615:1600;28,75
20180615:1700;28,75
20180615:1800;34,1
20180615:1900;37,75
20180615:2000;34,9
20180615:2100;45,6
20180615:2200;50,3
20180615:2300;55,55
20180616:0000;59,35
20180616:0100;63,5
20180616:0200;65,65
20180616:0300;67,95
20180616:0400;70,3
20180616:0500;72,7
20180616:0600;70,3
20180616:0700;63,5
20180616:0800;55,55
20180616:0900;47,15
20180616:1000;38,55
20180616:1100;33,7
20180616:1200;29,55
20180616:1300;26,75
20180616:1400;25,95
20180616:1500;24,25
20180616:1600;23,4
20180616:1700;24,1
20180616:1800;25,8
20180616:1900;29,55
20180616:2000;34,8
20180616:2100;38,3
20180616:2200;40,75
20180616:2300;43,5
20180617:0000;44,85
20180617:0100;51,4
20180617:0200;55,05
20180617:0300;56,95
20180617:0400;60,95
20180617:0500;63,05
20180617:0600;60,95
20180617:0700;51,25
20180617:0800;41,85
20180617:0900;34,25
20180617:1000;30,1
20180617:1100;24,65
20180617:1200;21,5
20180617:1300;20,05
20180617:1400;18,85
20180617:1500;19
20180617:1600;19,7
20180617:1700;21,85
20180617:1800;24,25
20180617:1900;28,65
20180617:2000;31,5
20180617:2100;35,8
20180617:2200;39,45
20180617:2300;40,6
20180618:0000;43,4
20180618:0100;48,05
20180618:0200;51,4
20180618:0300;53,15
20180618:0400;54,95
20180618:0500;54,85
20180618:0600;54,85
20180618:0700;49,55
20180618:0800;40,5
20180618:0900;34,25
20180618:1000;30,1
20180618:1100;25,55
20180618:1200;24
20180618:1300;20,95
20180618:1400;19
20180618:1500;18,4
20180618:1600;18,4
20180618:1700;19
20180618:1800;20,3
20180618:1900;24,9
20180618:2000;28,5
20180618:2100;34,8
20180618:2200;39,7
20180618:2300;40,9
20180619:0000;46,6
20180619:0100;51,65
20180619:0200;55,2
20180619:0300;55,05
20180619:0400;59,05
20180619:0500;61,05
20180619:0600;59,05
20180619:0700;51,4
20180619:0800;45,1
20180619:0900;39,7
20180619:1000;34,9
20180619:1100;32,9
20180619:1200;28,9
20180619:1300;26,2
20180619:1400;23,75
20180619:1500;22,2
20180619:1600;22,2
20180619:1700;22,2
20180619:1800;24,5
20180619:1900;23,5
20180619:2000;34,35
20180619:2100;35,2
20180619:2200;37,35
20180619:2300;37,1
20180620:0000;38,3
20180620:0100;40,9
20180620:0200;46,75
20180620:0300;50,05
20180620:0400;55,45
20180620:0500;57,3
20180620:0600;55,45
20180620:0700;53,75
20180620:0800;47,15
20180620:0900;41,4
20180620:1000;36,45
20180620:1100;32
20180620:1200;28,15
20180620:1300;25,5
20180620:1400;23,85
20180620:1500;23,15
20180620:1600;22,35
20180620:1700;22,35
20180620:1800;23,75
20180620:1900;29
20180620:2000;21,75
20180620:2100;32
20180620:2200;36,45
20180620:2300;30,25
20180621:0000;33,4
20180621:0100;38,15
20180621:0200;42,25
20180621:0300;46,75
20180621:0400;51,75
20180621:0500;51,65
20180621:0600;55,45
20180621:0700;52
20180621:0800;44,05
20180621:0900;37,2
20180621:1000;30,5
20180621:1100;26,75
20180621:1200;24,25
20180621:1300;21,2
20180621:1400;17,85
20180621:1500;16,05
20180621:1600;15,45
20180621:1700;14,9
20180621:1800;15,95
20180621:1900;24,25
20180621:2000;26,75
20180621:2100;33,8
20180621:2200;31,2
20180621:2300;32,1
20180622:0000;33
20180622:0100;36,4
20180622:0200;39,05
20180622:0300;43,25
20180622:0400;47,9
20180622:0500;53,15
20180622:0600;57,2
20180622:0700;40,9
20180622:0800;37,2
20180622:0900;33,8
20180622:1000;28,75
20180622:1100;25,15
20180622:1200;21,3
20180622:1300;20,05
20180622:1400;18,75
20180622:1500;17,5
20180622:1600;16,9
20180622:1700;17,4
20180622:1800;19,2
20180622:1900;30,2
20180622:2000;25,95
20180622:2100;32,9
20180622:2200;31,5
20180622:2300;31,2
20180623:0000;35,8
20180623:0100;36,95
20180623:0200;43,9
20180623:0300;48,55
20180623:0400;51,9
20180623:0500;53,6
20180623:0600;53,75
20180623:0700;48,8
20180623:0800;39,95
20180623:0900;33,95
20180623:1000;27,85
20180623:1100;23,75
20180623:1200;20,05
20180623:1300;18,15
20180623:1400;15,9
20180623:1500;14,75
20180623:1600;13,3
20180623:1700;13,2
20180623:1800;14,65
20180623:1900;22,35
20180623:2000;19,7
20180623:2100;25,8
20180623:2200;27,5
20180623:2300;31,5
20180624:0000;36,05
20180624:0100;38,45
20180624:0200;39,7
20180624:0300;42,35
20180624:0400;46,85
20180624:0500;51,9
20180624:0600;52
20180624:0700;54,2
20180624:0800;47,65
20180624:0900;37,9
20180624:1000;33,3
20180624:1100;28,4
20180624:1200;23,4
20180624:1300;17,85
20180624:1400;14
20180624:1500;11,7
20180624:1600;10,85
20180624:1700;11,2
20180624:1800;11,5
20180624:1900;16,9
20180624:2000;21,3
20180624:2100;25,95
20180624:2200;28,65
20180624:2300;30,5
20180625:0000;32,5
20180625:0100;32,35
20180625:0200;33,3
20180625:0300;35,5
20180625:0400;39,3
20180625:0500;43,5
20180625:0600;45,25
20180625:0700;45,6
20180625:0800;44,55
20180625:0900;41,95
20180625:1000;36,95
20180625:1100;31,55
20180625:1200;26,8
20180625:1300;23,65
20180625:1400;20,75
20180625:1500;18,75
20180625:1600;19,9
20180625:1700;20,9
20180625:1800;20,8
20180625:1900;21,45
20180625:2000;27
20180625:2100;37,9
20180625:2200;36,45
20180625:2300;41,55
20180626:0000;56,35
20180626:0100;47,65
20180626:0200;45,9
20180626:0300;50,7
20180626:0400;66,35
20180626:0500;70,9
20180626:0600;68,7
20180626:0700;58,1
20180626:0800;47,65
20180626:0900;39,25
20180626:1000;35,6
20180626:1100;30,35
20180626:1200;27,65
20180626:1300;27,8
20180626:1400;26,95
20180626:1500;27,05
20180626:1600;27,9
20180626:1700;32,65
20180626:1800;34,6
20180626:1900;35,7
20180626:2000;38,15
20180626:2100;45,05
20180626:2200;51,3
20180626:2300;54,7
20180627:0000;58,35
20180627:0100;62,25
20180627:0200;64,3
20180627:0300;68,7
20180627:0400;68,6
20180627:0500;68,5
20180627:0600;57,75
20180627:0700;52,25
20180627:0800;45,75
20180627:0900;38,85
20180627:1000;34,2
20180627:1100;33,15
20180627:1200;32,25
20180627:1300;31,3
20180627:1400;29,3
20180627:1500;28,25
20180627:1600;28,15
20180627:1700;23,5
20180627:1800;24,9
20180627:1900;24
20180627:2000;24,5
20180627:2100;26
20180627:2200;33,15
20180627:2300;38,05
20180628:0000;48,45
20180628:0100;48,2
20180628:0200;51,5
20180628:0300;55,2
20180628:0400;46,2
20180628:0500;37,25
20180628:0600;43,1
20180628:0700;52
20180628:0800;45,6
20180628:0900;38,7
20180628:1000;30,5
20180628:1100;25,8
20180628:1200;22,4
20180628:1300;20,95
20180628:1400;19,45
20180628:1500;18,85
20180628:1600;17,6
20180628:1700;18,15
20180628:1800;20,05
20180628:1900;24,75
20180628:2000;27,35
20180628:2100;29,15
20180628:2200;34,5
20180628:2300;42,35
20180629:0000;42,25
20180629:0100;50,2
20180629:0200;53,6
20180629:0300;55,3
20180629:0400;59,15
20180629:0500;59,15
20180629:0600;63,5
20180629:0700;66,15
20180629:0800;59,95
20180629:0900;52,6
20180629:1000;44,7
20180629:1100;37,9
20180629:1200;34,35
20180629:1300;31,15
20180629:1400;30,2
20180629:1500;27,25
20180629:1600;25,4
20180629:1700;23,65
20180629:1800;25,15
20180629:1900;35,45
20180629:2000;37,75
20180629:2100;41,65
20180629:2200;47,5
20180629:2300;50,7
20180630:0000;52,35
20180630:0100;54
20180630:0200;55,8
20180630:0300;59,7
20180630:0400;63,8
20180630:0500;65,95
20180630:0600;63,8
20180630:0700;68,5
20180630:0800;59,8
20180630:0900;57,9
20180630:1000;56
20180630:1100;58
20180630:1200;66,35
20180630:1300;61,95
20180630:1400;57,75
20180630:1500;55,9
20180630:1600;43,78
20180630:1700;43,9
20180630:1800;44,03
20180630:1900;44,16
20180630:2000;44,28
20180630:2100;44,41
20180630:2200;44,53
20180630:2300;44,66
20110701:0000;44,78
20110701:0100;44,91
20110701:0200;45,04
20110701:0300;45,16
20110701:0400;45,29
20110701:0500;45,41
20110701:0600;45,54
20110701:0700;45,67
20110701:0800;45,35
20110701:0900;42,75
20110701:1000;36,3
20110701:1100;28,75
20110701:1200;20,45
20110701:1300;16,05
20110701:1400;13
20110701:1500;13
20110701:1600;13,9
20110701:1700;16,55
20110701:1800;20,95
20110701:1900;20,85
20110701:2000;24,65
20110701:2100;27,25
20110701:2200;28,25
20110701:2300;39,95
20110702:0000;41
20110702:0100;43,75
20110702:0200;45,25
20110702:0300;46,6
20110702:0400;46,5
20110702:0500;51,65
20110702:0600;49,95
20110702:0700;42,35
20110702:0800;36,05
20110702:0900;29,55
20110702:1000;23,4
20110702:1100;20,45
20110702:1200;17,2
20110702:1300;15,6
20110702:1400;14,55
20110702:1500;15,1
20110702:1600;15,1
20110702:1700;12,9
20110702:1800;14,8
20110702:1900;16,35
20110702:2000;20,05
20110702:2100;23,85
20110702:2200;28,25
20110702:2300;31,2
20110703:0000;38,45
20110703:0100;41,15
20110703:0200;31,1
20110703:0300;30,95
20110703:0400;40,9
20110703:0500;39,15
20110703:0600;39,15
20110703:0700;39,45
20110703:0800;33,3
20110703:0900;28,1
20110703:1000;28,25
20110703:1100;25,45
20110703:1200;21,35
20110703:1300;17,3
20110703:1400;14,95
20110703:1500;13,85
20110703:1600;13,75
20110703:1700;14,2
20110703:1800;15,6
20110703:1900;20,9
20110703:2000;24
20110703:2100;26,6
20110703:2200;30,4
20110703:2300;33,7
20110704:0000;34,85
20110704:0100;38,65
20110704:0200;44,45
20110704:0300;51,15
20110704:0400;51
20110704:0500;58,7
20110704:0600;49,3
20110704:0700;49,8
20110704:0800;45,25
20110704:0900;41
20110704:1000;35,9
20110704:1100;30,35
20110704:1200;26,5
20110704:1300;23,15
20110704:1400;20,85
20110704:1500;18,85
20110704:1600;18,75
20110704:1700;18,15
20110704:1800;18,75
20110704:1900;24,65
20110704:2000;28,25
20110704:2100;32,25
20110704:2200;35,65
20110704:2300;39,45
20110705:0000;45,25
20110705:0100;51,9
20110705:0200;51,65
20110705:0300;55,2
20110705:0400;59,15
20110705:0500;55,2
20110705:0600;55,2
20110705:0700;48,3
20110705:0800;41
20110705:0900;33,7
20110705:1000;28,5
20110705:1100;24,1
20110705:1200;21,2
20110705:1300;19,1
20110705:1400;17,3
20110705:1500;17,3
20110705:1600;17,95
20110705:1700;18,5
20110705:1800;20,45
20110705:1900;22,55
20110705:2000;24,75
20110705:2100;28,25
20110705:2200;29,15
20110705:2300;29,95
20110706:0000;31,95
20110706:0100;35,4
20110706:0200;36,55
20110706:0300;40,5
20110706:0400;46,5
20110706:0500;51,5
20110706:0600;53,35
20110706:0700;45,25
20110706:0800;42,5
20110706:0900;38,55
20110706:1000;33,8
20110706:1100;28,5
20110706:1200;22,4
20110706:1300;18,15
20110706:1400;14,7
20110706:1500;12,6
20110706:1600;12,15
20110706:1700;11,6
20110706:1800;12,35
20110706:1900;13,55
20110706:2000;16,1
20110706:2100;19,15
20110706:2200;22,05
20110706:2300;24,4
20110707:0000;27,05
20110707:0100;28,9
20110707:0200;30,9
20110707:0300;34,3
20110707:0400;35,45
20110707:0500;40,9
20110707:0600;42,45
20110707:0700;35,9
20110707:0800;32,5
20110707:0900;28,5
20110707:1000;25,85
20110707:1100;22,65
20110707:1200;20,35
20110707:1300;18,4
20110707:1400;16,55
20110707:1500;15,45
20110707:1600;15,45
20110707:1700;15,3
20110707:1800;15,7
20110707:1900;16,75
20110707:2000;18,4
20110707:2100;20,3
20110707:2200;22,4
20110707:2300;23,9
20110708:0000;27,45
20110708:0100;30,5
20110708:0200;33,9
20110708:0300;40,6
20110708:0400;43,65
20110708:0500;46,75
20110708:0600;47
20110708:0700;36,55
20110708:0800;31,95
20110708:0900;27,85
20110708:1000;23,5
20110708:1100;19,75
20110708:1200;17,25
20110708:1300;16,2
20110708:1400;15,7
20110708:1500;16,45
20110708:1600;17,15
20110708:1700;18,4
20110708:1800;20,45
20110708:1900;23,5
20110708:2000;26,95
20110708:2100;30,8
20110708:2200;35,4
20110708:2300;37,75
20110709:0000;41,85
20110709:0100;46,35
20110709:0200;51,4
20110709:0300;59,05
20110709:0400;61,05
20110709:0500;61,05
20110709:0600;56,95
20110709:0700;51,65
20110709:0800;45,25
20110709:0900;38,3
20110709:1000;32,5
20110709:1100;29,4
20110709:1200;25,7
20110709:1300;23,25
20110709:1400;20,3
20110709:1500;18,85
20110709:1600;17,5
20110709:1700;17,5
20110709:1800;18,65
20110709:1900;22,05
20110709:2000;23,5
20110709:2100;26,85
20110709:2200;29,55
20110709:2300;32,75
20110710:0000;35,1
20110710:0100;38,9
20110710:0200;43,1
20110710:0300;47,8
20110710:0400;54,95
20110710:0500;60,95
20110710:0600;61,05
20110710:0700;48,2
20110710:0800;40,9
20110710:0900;34,65
20110710:1000;29,3
20110710:1100;24,75
20110710:1200;20,2
20110710:1300;18,15
20110710:1400;15,85
20110710:1500;14,8
20110710:1600;13,7
20110710:1700;13,65
20110710:1800;14,05
20110710:1900;14,95
20110710:2000;16,3
20110710:2100;17,4
20110710:2200;19,15
20110710:2300;21,9
20110711:0000;30,3
20110711:0100;32,2
20110711:0200;33,15
20110711:0300;35,45
20110711:0400;38,1
20110711:0500;42,3
20110711:0600;42,45
20110711:0700;33,6
20110711:0800;26,6
20110711:0900;22,5
20110711:1000;19,1
20110711:1100;17,4
20110711:1200;15,25
20110711:1300;13,8
20110711:1400;12,9
20110711:1500;12,05
20110711:1600;11,6
20110711:1700;11,95
20110711:1800;12,8
20110711:1900;15,75
20110711:2000;19,1
20110711:2100;21,8
20110711:2200;22,5
20110711:2300;25,75
20110712:0000;27,45
20110712:0100;29,3
20110712:0200;31,3
20110712:0300;34,7
20110712:0400;35,9
20110712:0500;38,35
20110712:0600;37,1
20110712:0700;33,85
20110712:0800;29,85
20110712:0900;27,25
20110712:1000;25,55
20110712:1100;23,15
20110712:1200;20,2
20110712:1300;19,55
20110712:1400;16,35
20110712:1500;21,6
20110712:1600;24,75
20110712:1700;21,35
20110712:1800;27,1
20110712:1900;43,75
20110712:2000;46,75
20110712:2100;51,65
20110712:2200;55,2
20110712:2300;61,2
20110713:0000;61,05
20110713:0100;63,2
20110713:0200;63,05
20110713:0300;62,95
20110713:0400;60,75
20110713:0500;60,65
20110713:0600;58,45
20110713:0700;54,6
20110713:0800;47,4
20110713:0900;41,3
20110713:1000;33,6
20110713:1100;28,35
20110713:1200;26,6
20110713:1300;24,9
20110713:1400;24,9
20110713:1500;25,85
20110713:1600;28,75
20110713:1700;29,7
20110713:1800;30,7
20110713:1900;35,1
20110713:2000;38,9
20110713:2100;41,55
20110713:2200;44,45
20110713:2300;47,65
20110714:0000;51
20110714:0100;52,75
20110714:0200;52,65
20110714:0300;54,45
20110714:0400;54,35
20110714:0500;56,25
20110714:0600;56,25
20110714:0700;52,5
20110714:0800;42,45
20110714:0900;33,15
20110714:1000;26,95
20110714:1100;22,65
20110714:1200;19
20110714:1300;16,6
20110714:1400;16,1
20110714:1500;15,6
20110714:1600;15,6
20110714:1700;15,6
20110714:1800;15,6
20110714:1900;16,75
20110714:2000;19,25
20110714:2100;22,05
20110714:2200;24,15
20110714:2300;25,8
20110715:0000;27,7
20110715:0100;31,95
20110715:0200;36,8
20110715:0300;39,55
20110715:0400;44,05
20110715:0500;49,05
20110715:0600;50,85
20110715:0700;47,65
20110715:0800;49,95
20110715:0900;47
20110715:1000;39,85
20110715:1100;32,5
20110715:1200;25,55
20110715:1300;22,3
20110715:1400;19,45
20110715:1500;18,15
20110715:1600;16,85
20110715:1700;16,25
20110715:1800;16,75
20110715:1900;18,65
20110715:2000;20,45
20110715:2100;22,65
20110715:2200;24,9
20110715:2300;27,6
20110716:0000;39,15
20110716:0100;41,85
20110716:0200;37,5
20110716:0300;36
20110716:0400;44,45
20110716:0500;51
20110716:0600;51,15
20110716:0700;40,2
20110716:0800;31,85
20110716:0900;25,2
20110716:1000;20,6
20110716:1100;17,4
20110716:1200;15,85
20110716:1300;15,95
20110716:1400;16,05
20110716:1500;16,15
20110716:1600;16,8
20110716:1700;17,95
20110716:1800;18,5
20110716:1900;21,85
20110716:2000;24,9
20110716:2100;28,35
20110716:2200;30,35
20110716:2300;33,55
20110717:0000;35,8
20110717:0100;41
20110717:0200;43,9
20110717:0300;50,3
20110717:0400;55,65
20110717:0500;59,5
20110717:0600;61,6
20110717:0700;55,65
20110717:0800;50,3
20110717:0900;45,5
20110717:1000;38,45
20110717:1100;34,8
20110717:1200;29,3
20110717:1300;24,65
20110717:1400;21,35
20110717:1500;19,25
20110717:1600;17,85
20110717:1700;17,15
20110717:1800;16,95
20110717:1900;17,4
20110717:2000;17,7
20110717:2100;18,9
20110717:2200;20,85
20110717:2300;22,25
20110718:0000;23,9
20110718:0100;26,55
20110718:0200;33,05
20110718:0300;38,1
20110718:0400;43,9
20110718:0500;47,15
20110718:0600;47,15
20110718:0700;45,7
20110718:0800;39,95
20110718:0900;32,5
20110718:1000;28,35
20110718:1100;23,9
20110718:1200;20,9
20110718:1300;18,9
20110718:1400;18,3
20110718:1500;17,7
20110718:1600;17,15
20110718:1700;18,4
20110718:1800;19,7
20110718:1900;21,8
20110718:2000;24,15
20110718:2100;25,75
20110718:2200;29,45
20110718:2300;31,55
20110719:0000;37,65
20110719:0100;44,85
20110719:0200;51,65
20110719:0300;57,2
20110719:0400;59,15
20110719:0500;61,05
20110719:0600;58,9
20110719:0700;57,1
20110719:0800;49,7
20110719:0900;43,4
20110719:1000;36,4
20110719:1100;29,55
20110719:1200;23,9
20110719:1300;20,75
20110719:1400;18,05
20110719:1500;17,4
20110719:1600;17,4
20110719:1700;17,4
20110719:1800;18,65
20110719:1900;19,9
20110719:2000;21,2
20110719:2100;24,3
20110719:2200;25,95
20110719:2300;27,7
20110720:0000;30,75
20110720:0100;32,9
20110720:0200;35,2
20110720:0300;36,4
20110720:0400;39,15
20110720:0500;40,6
20110720:0600;42,15
20110720:0700;45,55
20110720:0800;37,1
20110720:0900;31,3
20110720:1000;27,35
20110720:1100;24
20110720:1200;22,65
20110720:1300;21,95
20110720:1400;20,6
20110720:1500;19,35
20110720:1600;18,75
20110720:1700;18,75
20110720:1800;20,05
20110720:1900;21,5
20110720:2000;23,6
20110720:2100;25,2
20110720:2200;28,75
20110720:2300;30,7
20110721:0000;40,5
20110721:0100;40,35
20110721:0200;43,1
20110721:0300;49,45
20110721:0400;51
20110721:0500;52,75
20110721:0600;52,75
20110721:0700;43
20110721:0800;35,25
20110721:0900;28,9
20110721:1000;26,25
20110721:1100;23,75
20110721:1200;20,05
20110721:1300;16,95
20110721:1400;15,25
20110721:1500;14,25
20110721:1600;13,3
20110721:1700;13,2
20110721:1800;13,1
20110721:1900;15,15
20110721:2000;17,3
20110721:2100;21,8
20110721:2200;33,15
20110721:2300;43,4
20110722:0000;44,7
20110722:0100;46,1
20110722:0200;49,3
20110722:0300;52,75
20110722:0400;56,6
20110722:0500;56,6
20110722:0600;54,6
20110722:0700;54,85
20110722:0800;49,7
20110722:0900;43,65
20110722:1000;38,3
20110722:1100;33,7
20110722:1200;31,6
20110722:1300;25,8
20110722:1400;21,75
20110722:1500;20,3
20110722:1600;19,55
20110722:1700;20,3
20110722:1800;20,95
20110722:1900;23,15
20110722:2000;26,4
20110722:2100;26,25
20110722:2200;26,85
20110722:2300;31,55
20110723:0000;35,9
20110723:0100;38,35
20110723:0200;41,05
20110723:0300;42,45
20110723:0400;43,9
20110723:0500;43,8
20110723:0600;43,8
20110723:0700;44,2
20110723:0800;41,55
20110723:0900;43,5
20110723:1000;41
20110723:1100;34,8
20110723:1200;28,35
20110723:1300;24
20110723:1400;20,95
20110723:1500;18,85
20110723:1600;18,15
20110723:1700;16,85
20110723:1800;16,75
20110723:1900;17,15
20110723:2000;18,05
20110723:2100;17,15
20110723:2200;18,2
20110723:2300;20,05
20110724:0000;23
20110724:0100;27,6
20110724:0200;33,05
20110724:0300;36,7
20110724:0400;37,95
20110724:0500;42,15
20110724:0600;42,15
20110724:0700;40,9
20110724:0800;35,6
20110724:0900;31,15
20110724:1000;27,35
20110724:1100;24
20110724:1200;21,8
20110724:1300;21,15
20110724:1400;19,85
20110724:1500;17,95
20110724:1600;17,95
20110724:1700;19,25
20110724:1800;21,25
20110724:1900;24,4
20110724:2000;26,95
20110724:2100;30,8
20110724:2200;35,4
20110724:2300;39,15
20110725:0000;41,85
20110725:0100;46,35
20110725:0200;47,9
20110725:0300;49,55
20110725:0400;53,15
20110725:0500;54,95
20110725:0600;58,9
20110725:0700;55,2
20110725:0800;48,3
20110725:0900;42,35
20110725:1000;37,1
20110725:1100;32,65
20110725:1200;27,6
20110725:1300;25
20110725:1400;24,1
20110725:1500;22,55
20110725:1600;22,55
20110725:1700;22,55
20110725:1800;23,25
20110725:1900;25,7
20110725:2000;28,25
20110725:2100;30,25
20110725:2200;33,3
20110725:2300;39,45
20110726:0000;40,75
20110726:0100;40,6
20110726:0200;40,6
20110726:0300;43,4
20110726:0400;51,4
20110726:0500;53,15
20110726:0600;53,15
20110726:0700;48,3
20110726:0800;38,3
20110726:0900;33,7
20110726:1000;29,55
20110726:1100;25,95
20110726:1200;23,65
20110726:1300;21,45
20110726:1400;19,45
20110726:1500;18,15
20110726:1600;17,5
20110726:1700;16,9
20110726:1800;17,4
20110726:1900;18,5
20110726:2000;21,75
20110726:2100;24,75
20110726:2200;33,7
20110726:2300;45,5
20110727:0000;48,55
20110727:0100;51,9
20110727:0200;51,65
20110727:0300;55,2
20110727:0400;56,95
20110727:0500;56,85
20110727:0600;54,85
20110727:0700;51,25
20110727:0800;44,7
20110727:0900;36,55
20110727:1000;33,3
20110727:1100;30,35
20110727:1200;26,5
20110727:1300;23,15
20110727:1400;19,45
20110727:1500;16,95
20110727:1600;16,35
20110727:1700;15,75
20110727:1800;15,65
20110727:1900;16,75
20110727:2000;18,4
20110727:2100;19,5
20110727:2200;20,75
20110727:2300;24,65
20110728:0000;29,45
20110728:0100;35,1
20110728:0200;41,85
20110728:0300;48,2
20110728:0400;51,65
20110728:0500;55,3
20110728:0600;55,3
20110728:0700;57,55
20110728:0800;57,9
20110728:0900;52,6
20110728:1000;46,15
20110728:1100;40,5
20110728:1200;33,3
20110728:1300;29,15
20110728:1400;25,5
20110728:1500;23,15
20110728:1600;22,35
20110728:1700;21,55
20110728:1800;22,2
20110728:1900;25,5
20110728:2000;28
20110728:2100;31,85
20110728:2200;35,2
20110728:2300;38,85
20110729:0000;40,1
20110729:0100;44,05
20110729:0200;42,35
20110729:0300;42,1
20110729:0400;44,95
20110729:0500;48,2
20110729:0600;49,95
20110729:0700;48,45
20110729:0800;44,15
20110729:0900;38,85
20110729:1000;30,75
20110729:1100;24,5
20110729:1200;20,05
20110729:1300;18,05
20110729:1400;16,3
20110729:1500;16,3
20110729:1600;16,8
20110729:1700;16,8
20110729:1800;17,85
20110729:1900;17,1
20110729:2000;19,35
20110729:2100;22,2
20110729:2200;22,9
20110729:2300;25,3
20110730:0000;27,1
20110730:0100;28
20110730:0200;30,8
20110730:0300;34,1
20110730:0400;37,75
20110730:0500;40,35
20110730:0600;41,85
20110730:0700;40,75
20110730:0800;34,5
20110730:0900;30,35
20110730:1000;26,65
20110730:1100;21,05
20110730:1200;16,55
20110730:1300;15,45
20110730:1400;14,45
20110730:1500;14
20110730:1600;14,45
20110730:1700;14,45
20110730:1800;15,45
20110730:1900;19,7
20110730:2000;22,4
20110730:2100;25,55
20110730:2200;27,25
20110730:2300;28,1
20110731:0000;30,95
20110731:0100;35,4
20110731:0200;39,15
20110731:0300;41,85
20110731:0400;44,85
20110731:0500;46,35
20110731:0600;48,05
20110731:0700;48,3
20110731:0800;47,15
20110731:0900;41,4
20110731:1000;32,75
20110731:1100;25,95
20110731:1200;21,2
20110731:1300;17,85
20110731:1400;16,65
20110731:1500;16,15
20110731:1600;20,63
20110731:1700;20,81
20110731:1800;20,99
20110731:1900;21,17
20110731:2000;21,34
20110731:2100;21,52
20110731:2200;21,7
20110731:2300;21,87
20070801:0000;22,05
20070801:0100;22,23
20070801:0200;22,41
20070801:0300;22,58
20070801:0400;22,76
20070801:0500;22,94
20070801:0600;23,11
20070801:0700;23,29
20070801:0800;24,4
20070801:0900;24,65
20070801:1000;21,75
20070801:1100;18,4
20070801:1200;15,6
20070801:1300;14,1
20070801:1400;13,2
20070801:1500;13,6
20070801:1600;13,5
20070801:1700;13,9
20070801:1800;15,85
20070801:1900;17,4
20070801:2000;19,1
20070801:2100;21
20070801:2200;21,7
20070801:2300;23,15
20070802:0000;24,65
20070802:0100;28,25
20070802:0200;33,6
20070802:0300;36
20070802:0400;33,45
20070802:0500;33,45
20070802:0600;39,8
20070802:0700;37,35
20070802:0800;33
20070802:0900;27,1
20070802:1000;22,9
20070802:1100;19,45
20070802:1200;16,45
20070802:1300;14,9
20070802:1400;13,9
20070802:1500;13
